type,notch,searge,mcp
func,bz/b(Lbn;)Ljava/lang/String;,net/minecraft/command/CommandDebug/func_71518_a(Lnet/minecraft/command/ICommandSender;)Ljava/lang/String;,getUsage
func,bz/c()Ljava/lang/String;,net/minecraft/command/CommandDebug/func_71517_b()Ljava/lang/String;,getName
func,bz/d()Ljava/lang/String;,net/minecraft/command/CommandDebug/func_147203_d()Ljava/lang/String;,getWittyComment
func,ca/a(Lams;Lnet/minecraft/server/MinecraftServer;)V,net/minecraft/command/CommandDefaultGameMode/func_184896_a(Lnet/minecraft/world/GameType;Lnet/minecraft/server/MinecraftServer;)V,setDefaultGameType
func,ca/a(Lnet/minecraft/server/MinecraftServer;Lbn;[Ljava/lang/String;)V,net/minecraft/command/CommandDefaultGameMode/func_184881_a(Lnet/minecraft/server/MinecraftServer;Lnet/minecraft/command/ICommandSender;[Ljava/lang/String;)V,execute
func,ca/b(Lbn;)Ljava/lang/String;,net/minecraft/command/CommandDefaultGameMode/func_71518_a(Lnet/minecraft/command/ICommandSender;)Ljava/lang/String;,getUsage
func,ca/c()Ljava/lang/String;,net/minecraft/command/CommandDefaultGameMode/func_71517_b()Ljava/lang/String;,getName
func,cb/a()I,net/minecraft/command/CommandEffect/func_82362_a()I,getRequiredPermissionLevel
func,cb/a(Lnet/minecraft/server/MinecraftServer;Lbn;[Ljava/lang/String;)V,net/minecraft/command/CommandEffect/func_184881_a(Lnet/minecraft/server/MinecraftServer;Lnet/minecraft/command/ICommandSender;[Ljava/lang/String;)V,execute
func,cb/a(Lnet/minecraft/server/MinecraftServer;Lbn;[Ljava/lang/String;Let;)Ljava/util/List;,net/minecraft/command/CommandEffect/func_184883_a(Lnet/minecraft/server/MinecraftServer;Lnet/minecraft/command/ICommandSender;[Ljava/lang/String;Lnet/minecraft/util/math/BlockPos;)Ljava/util/List;,getTabCompletions
func,cb/b(Lbn;)Ljava/lang/String;,net/minecraft/command/CommandEffect/func_71518_a(Lnet/minecraft/command/ICommandSender;)Ljava/lang/String;,getUsage
func,cb/b([Ljava/lang/String;I)Z,net/minecraft/command/CommandEffect/func_82358_a([Ljava/lang/String;I)Z,isUsernameIndex
func,cb/c()Ljava/lang/String;,net/minecraft/command/CommandEffect/func_71517_b()Ljava/lang/String;,getName
func,cc/a()I,net/minecraft/command/server/CommandEmote/func_82362_a()I,getRequiredPermissionLevel
func,cc/a(Lnet/minecraft/server/MinecraftServer;Lbn;[Ljava/lang/String;)V,net/minecraft/command/server/CommandEmote/func_184881_a(Lnet/minecraft/server/MinecraftServer;Lnet/minecraft/command/ICommandSender;[Ljava/lang/String;)V,execute
func,cc/a(Lnet/minecraft/server/MinecraftServer;Lbn;[Ljava/lang/String;Let;)Ljava/util/List;,net/minecraft/command/server/CommandEmote/func_184883_a(Lnet/minecraft/server/MinecraftServer;Lnet/minecraft/command/ICommandSender;[Ljava/lang/String;Lnet/minecraft/util/math/BlockPos;)Ljava/util/List;,getTabCompletions
func,cc/b(Lbn;)Ljava/lang/String;,net/minecraft/command/server/CommandEmote/func_71518_a(Lnet/minecraft/command/ICommandSender;)Ljava/lang/String;,getUsage
func,cc/c()Ljava/lang/String;,net/minecraft/command/server/CommandEmote/func_71517_b()Ljava/lang/String;,getName
func,cd/a()I,net/minecraft/command/CommandEnchant/func_82362_a()I,getRequiredPermissionLevel
func,cd/a(Lnet/minecraft/server/MinecraftServer;Lbn;[Ljava/lang/String;)V,net/minecraft/command/CommandEnchant/func_184881_a(Lnet/minecraft/server/MinecraftServer;Lnet/minecraft/command/ICommandSender;[Ljava/lang/String;)V,execute
func,cd/a(Lnet/minecraft/server/MinecraftServer;Lbn;[Ljava/lang/String;Let;)Ljava/util/List;,net/minecraft/command/CommandEnchant/func_184883_a(Lnet/minecraft/server/MinecraftServer;Lnet/minecraft/command/ICommandSender;[Ljava/lang/String;Lnet/minecraft/util/math/BlockPos;)Ljava/util/List;,getTabCompletions
func,cd/b(Lbn;)Ljava/lang/String;,net/minecraft/command/CommandEnchant/func_71518_a(Lnet/minecraft/command/ICommandSender;)Ljava/lang/String;,getUsage
func,cd/b([Ljava/lang/String;I)Z,net/minecraft/command/CommandEnchant/func_82358_a([Ljava/lang/String;I)Z,isUsernameIndex
func,cd/c()Ljava/lang/String;,net/minecraft/command/CommandEnchant/func_71517_b()Ljava/lang/String;,getName
func,ce/a()I,net/minecraft/command/CommandEntityData/func_82362_a()I,getRequiredPermissionLevel
func,ce/a(Lnet/minecraft/server/MinecraftServer;Lbn;[Ljava/lang/String;)V,net/minecraft/command/CommandEntityData/func_184881_a(Lnet/minecraft/server/MinecraftServer;Lnet/minecraft/command/ICommandSender;[Ljava/lang/String;)V,execute
func,ce/b(Lbn;)Ljava/lang/String;,net/minecraft/command/CommandEntityData/func_71518_a(Lnet/minecraft/command/ICommandSender;)Ljava/lang/String;,getUsage
func,ce/b([Ljava/lang/String;I)Z,net/minecraft/command/CommandEntityData/func_82358_a([Ljava/lang/String;I)Z,isUsernameIndex
func,ce/c()Ljava/lang/String;,net/minecraft/command/CommandEntityData/func_71517_b()Ljava/lang/String;,getName
func,cf/a()I,net/minecraft/command/CommandExecuteAt/func_82362_a()I,getRequiredPermissionLevel
func,cf/a(Lnet/minecraft/server/MinecraftServer;Lbn;[Ljava/lang/String;)V,net/minecraft/command/CommandExecuteAt/func_184881_a(Lnet/minecraft/server/MinecraftServer;Lnet/minecraft/command/ICommandSender;[Ljava/lang/String;)V,execute
func,cf/a(Lnet/minecraft/server/MinecraftServer;Lbn;[Ljava/lang/String;Let;)Ljava/util/List;,net/minecraft/command/CommandExecuteAt/func_184883_a(Lnet/minecraft/server/MinecraftServer;Lnet/minecraft/command/ICommandSender;[Ljava/lang/String;Lnet/minecraft/util/math/BlockPos;)Ljava/util/List;,getTabCompletions
func,cf/b(Lbn;)Ljava/lang/String;,net/minecraft/command/CommandExecuteAt/func_71518_a(Lnet/minecraft/command/ICommandSender;)Ljava/lang/String;,getUsage
func,cf/b([Ljava/lang/String;I)Z,net/minecraft/command/CommandExecuteAt/func_82358_a([Ljava/lang/String;I)Z,isUsernameIndex
func,cf/c()Ljava/lang/String;,net/minecraft/command/CommandExecuteAt/func_71517_b()Ljava/lang/String;,getName
func,cg/a()I,net/minecraft/command/CommandXP/func_82362_a()I,getRequiredPermissionLevel
func,cg/a(Lnet/minecraft/server/MinecraftServer;Lbn;[Ljava/lang/String;)V,net/minecraft/command/CommandXP/func_184881_a(Lnet/minecraft/server/MinecraftServer;Lnet/minecraft/command/ICommandSender;[Ljava/lang/String;)V,execute
func,cg/a(Lnet/minecraft/server/MinecraftServer;Lbn;[Ljava/lang/String;Let;)Ljava/util/List;,net/minecraft/command/CommandXP/func_184883_a(Lnet/minecraft/server/MinecraftServer;Lnet/minecraft/command/ICommandSender;[Ljava/lang/String;Lnet/minecraft/util/math/BlockPos;)Ljava/util/List;,getTabCompletions
func,cg/b(Lbn;)Ljava/lang/String;,net/minecraft/command/CommandXP/func_71518_a(Lnet/minecraft/command/ICommandSender;)Ljava/lang/String;,getUsage
func,cg/b([Ljava/lang/String;I)Z,net/minecraft/command/CommandXP/func_82358_a([Ljava/lang/String;I)Z,isUsernameIndex
func,cg/c()Ljava/lang/String;,net/minecraft/command/CommandXP/func_71517_b()Ljava/lang/String;,getName
func,ch/a()I,net/minecraft/command/CommandFill/func_82362_a()I,getRequiredPermissionLevel
func,ch/a(Lnet/minecraft/server/MinecraftServer;Lbn;[Ljava/lang/String;)V,net/minecraft/command/CommandFill/func_184881_a(Lnet/minecraft/server/MinecraftServer;Lnet/minecraft/command/ICommandSender;[Ljava/lang/String;)V,execute
func,ch/a(Lnet/minecraft/server/MinecraftServer;Lbn;[Ljava/lang/String;Let;)Ljava/util/List;,net/minecraft/command/CommandFill/func_184883_a(Lnet/minecraft/server/MinecraftServer;Lnet/minecraft/command/ICommandSender;[Ljava/lang/String;Lnet/minecraft/util/math/BlockPos;)Ljava/util/List;,getTabCompletions
func,ch/b(Lbn;)Ljava/lang/String;,net/minecraft/command/CommandFill/func_71518_a(Lnet/minecraft/command/ICommandSender;)Ljava/lang/String;,getUsage
func,ch/c()Ljava/lang/String;,net/minecraft/command/CommandFill/func_71517_b()Ljava/lang/String;,getName
func,ci/a()I,net/minecraft/command/CommandFunction/func_82362_a()I,getRequiredPermissionLevel
func,ci/a(Lnet/minecraft/server/MinecraftServer;Lbn;[Ljava/lang/String;)V,net/minecraft/command/CommandFunction/func_184881_a(Lnet/minecraft/server/MinecraftServer;Lnet/minecraft/command/ICommandSender;[Ljava/lang/String;)V,execute
func,ci/a(Lnet/minecraft/server/MinecraftServer;Lbn;[Ljava/lang/String;Let;)Ljava/util/List;,net/minecraft/command/CommandFunction/func_184883_a(Lnet/minecraft/server/MinecraftServer;Lnet/minecraft/command/ICommandSender;[Ljava/lang/String;Lnet/minecraft/util/math/BlockPos;)Ljava/util/List;,getTabCompletions
func,ci/b(Lbn;)Ljava/lang/String;,net/minecraft/command/CommandFunction/func_71518_a(Lnet/minecraft/command/ICommandSender;)Ljava/lang/String;,getUsage
func,ci/c()Ljava/lang/String;,net/minecraft/command/CommandFunction/func_71517_b()Ljava/lang/String;,getName
func,cj/a()I,net/minecraft/command/CommandDifficulty/func_82362_a()I,getRequiredPermissionLevel
func,cj/a(Lnet/minecraft/server/MinecraftServer;Lbn;[Ljava/lang/String;)V,net/minecraft/command/CommandDifficulty/func_184881_a(Lnet/minecraft/server/MinecraftServer;Lnet/minecraft/command/ICommandSender;[Ljava/lang/String;)V,execute
func,cj/a(Lnet/minecraft/server/MinecraftServer;Lbn;[Ljava/lang/String;Let;)Ljava/util/List;,net/minecraft/command/CommandDifficulty/func_184883_a(Lnet/minecraft/server/MinecraftServer;Lnet/minecraft/command/ICommandSender;[Ljava/lang/String;Lnet/minecraft/util/math/BlockPos;)Ljava/util/List;,getTabCompletions
func,cj/b(Lbn;)Ljava/lang/String;,net/minecraft/command/CommandDifficulty/func_71518_a(Lnet/minecraft/command/ICommandSender;)Ljava/lang/String;,getUsage
func,cj/c()Ljava/lang/String;,net/minecraft/command/CommandDifficulty/func_71517_b()Ljava/lang/String;,getName
func,cj/e(Ljava/lang/String;)Ltz;,net/minecraft/command/CommandDifficulty/func_180531_e(Ljava/lang/String;)Lnet/minecraft/world/EnumDifficulty;,getDifficultyFromCommand
func,ck/a()I,net/minecraft/command/CommandGameMode/func_82362_a()I,getRequiredPermissionLevel
func,ck/a(Lnet/minecraft/server/MinecraftServer;Lbn;[Ljava/lang/String;)V,net/minecraft/command/CommandGameMode/func_184881_a(Lnet/minecraft/server/MinecraftServer;Lnet/minecraft/command/ICommandSender;[Ljava/lang/String;)V,execute
func,ck/a(Lnet/minecraft/server/MinecraftServer;Lbn;[Ljava/lang/String;Let;)Ljava/util/List;,net/minecraft/command/CommandGameMode/func_184883_a(Lnet/minecraft/server/MinecraftServer;Lnet/minecraft/command/ICommandSender;[Ljava/lang/String;Lnet/minecraft/util/math/BlockPos;)Ljava/util/List;,getTabCompletions
func,ck/b(Lbn;)Ljava/lang/String;,net/minecraft/command/CommandGameMode/func_71518_a(Lnet/minecraft/command/ICommandSender;)Ljava/lang/String;,getUsage
func,ck/b([Ljava/lang/String;I)Z,net/minecraft/command/CommandGameMode/func_82358_a([Ljava/lang/String;I)Z,isUsernameIndex
func,ck/c()Ljava/lang/String;,net/minecraft/command/CommandGameMode/func_71517_b()Ljava/lang/String;,getName
func,ck/c(Lbn;Ljava/lang/String;)Lams;,net/minecraft/command/CommandGameMode/func_71539_b(Lnet/minecraft/command/ICommandSender;Ljava/lang/String;)Lnet/minecraft/world/GameType;,getGameModeFromCommand
func,cl/a()I,net/minecraft/command/CommandGameRule/func_82362_a()I,getRequiredPermissionLevel
func,cl/a(Lamr;Ljava/lang/String;Lnet/minecraft/server/MinecraftServer;)V,net/minecraft/command/CommandGameRule/func_184898_a(Lnet/minecraft/world/GameRules;Ljava/lang/String;Lnet/minecraft/server/MinecraftServer;)V,notifyGameRuleChange
func,cl/a(Lnet/minecraft/server/MinecraftServer;)Lamr;,net/minecraft/command/CommandGameRule/func_184897_a(Lnet/minecraft/server/MinecraftServer;)Lnet/minecraft/world/GameRules;,getOverWorldGameRules
func,cl/a(Lnet/minecraft/server/MinecraftServer;Lbn;[Ljava/lang/String;)V,net/minecraft/command/CommandGameRule/func_184881_a(Lnet/minecraft/server/MinecraftServer;Lnet/minecraft/command/ICommandSender;[Ljava/lang/String;)V,execute
func,cl/a(Lnet/minecraft/server/MinecraftServer;Lbn;[Ljava/lang/String;Let;)Ljava/util/List;,net/minecraft/command/CommandGameRule/func_184883_a(Lnet/minecraft/server/MinecraftServer;Lnet/minecraft/command/ICommandSender;[Ljava/lang/String;Lnet/minecraft/util/math/BlockPos;)Ljava/util/List;,getTabCompletions
func,cl/b(Lbn;)Ljava/lang/String;,net/minecraft/command/CommandGameRule/func_71518_a(Lnet/minecraft/command/ICommandSender;)Ljava/lang/String;,getUsage
func,cl/c()Ljava/lang/String;,net/minecraft/command/CommandGameRule/func_71517_b()Ljava/lang/String;,getName
func,cm/a()I,net/minecraft/command/CommandGive/func_82362_a()I,getRequiredPermissionLevel
func,cm/a(Lnet/minecraft/server/MinecraftServer;Lbn;[Ljava/lang/String;)V,net/minecraft/command/CommandGive/func_184881_a(Lnet/minecraft/server/MinecraftServer;Lnet/minecraft/command/ICommandSender;[Ljava/lang/String;)V,execute
func,cm/a(Lnet/minecraft/server/MinecraftServer;Lbn;[Ljava/lang/String;Let;)Ljava/util/List;,net/minecraft/command/CommandGive/func_184883_a(Lnet/minecraft/server/MinecraftServer;Lnet/minecraft/command/ICommandSender;[Ljava/lang/String;Lnet/minecraft/util/math/BlockPos;)Ljava/util/List;,getTabCompletions
func,cm/b(Lbn;)Ljava/lang/String;,net/minecraft/command/CommandGive/func_71518_a(Lnet/minecraft/command/ICommandSender;)Ljava/lang/String;,getUsage
func,cm/b([Ljava/lang/String;I)Z,net/minecraft/command/CommandGive/func_82358_a([Ljava/lang/String;I)Z,isUsernameIndex
func,cm/c()Ljava/lang/String;,net/minecraft/command/CommandGive/func_71517_b()Ljava/lang/String;,getName
func,cn/a()I,net/minecraft/command/CommandHelp/func_82362_a()I,getRequiredPermissionLevel
func,cn/a(Lbn;Lnet/minecraft/server/MinecraftServer;)Ljava/util/List;,net/minecraft/command/CommandHelp/func_184900_a(Lnet/minecraft/command/ICommandSender;Lnet/minecraft/server/MinecraftServer;)Ljava/util/List;,getSortedPossibleCommands
func,cn/a(Lnet/minecraft/server/MinecraftServer;)Ljava/util/Map;,net/minecraft/command/CommandHelp/func_184899_a(Lnet/minecraft/server/MinecraftServer;)Ljava/util/Map;,getCommandMap
func,cn/a(Lnet/minecraft/server/MinecraftServer;Lbn;[Ljava/lang/String;)V,net/minecraft/command/CommandHelp/func_184881_a(Lnet/minecraft/server/MinecraftServer;Lnet/minecraft/command/ICommandSender;[Ljava/lang/String;)V,execute
func,cn/a(Lnet/minecraft/server/MinecraftServer;Lbn;[Ljava/lang/String;Let;)Ljava/util/List;,net/minecraft/command/CommandHelp/func_184883_a(Lnet/minecraft/server/MinecraftServer;Lnet/minecraft/command/ICommandSender;[Ljava/lang/String;Lnet/minecraft/util/math/BlockPos;)Ljava/util/List;,getTabCompletions
func,cn/b()Ljava/util/List;,net/minecraft/command/CommandHelp/func_71514_a()Ljava/util/List;,getAliases
func,cn/b(Lbn;)Ljava/lang/String;,net/minecraft/command/CommandHelp/func_71518_a(Lnet/minecraft/command/ICommandSender;)Ljava/lang/String;,getUsage
func,cn/c()Ljava/lang/String;,net/minecraft/command/CommandHelp/func_71517_b()Ljava/lang/String;,getName
func,co/a()I,net/minecraft/command/CommandServerKick/func_82362_a()I,getRequiredPermissionLevel
func,co/a(Lnet/minecraft/server/MinecraftServer;Lbn;[Ljava/lang/String;)V,net/minecraft/command/CommandServerKick/func_184881_a(Lnet/minecraft/server/MinecraftServer;Lnet/minecraft/command/ICommandSender;[Ljava/lang/String;)V,execute
func,co/a(Lnet/minecraft/server/MinecraftServer;Lbn;[Ljava/lang/String;Let;)Ljava/util/List;,net/minecraft/command/CommandServerKick/func_184883_a(Lnet/minecraft/server/MinecraftServer;Lnet/minecraft/command/ICommandSender;[Ljava/lang/String;Lnet/minecraft/util/math/BlockPos;)Ljava/util/List;,getTabCompletions
func,co/b(Lbn;)Ljava/lang/String;,net/minecraft/command/CommandServerKick/func_71518_a(Lnet/minecraft/command/ICommandSender;)Ljava/lang/String;,getUsage
func,co/c()Ljava/lang/String;,net/minecraft/command/CommandServerKick/func_71517_b()Ljava/lang/String;,getName
func,cp/a()I,net/minecraft/command/CommandKill/func_82362_a()I,getRequiredPermissionLevel
func,cp/a(Lnet/minecraft/server/MinecraftServer;Lbn;[Ljava/lang/String;)V,net/minecraft/command/CommandKill/func_184881_a(Lnet/minecraft/server/MinecraftServer;Lnet/minecraft/command/ICommandSender;[Ljava/lang/String;)V,execute
func,cp/a(Lnet/minecraft/server/MinecraftServer;Lbn;[Ljava/lang/String;Let;)Ljava/util/List;,net/minecraft/command/CommandKill/func_184883_a(Lnet/minecraft/server/MinecraftServer;Lnet/minecraft/command/ICommandSender;[Ljava/lang/String;Lnet/minecraft/util/math/BlockPos;)Ljava/util/List;,getTabCompletions
func,cp/b(Lbn;)Ljava/lang/String;,net/minecraft/command/CommandKill/func_71518_a(Lnet/minecraft/command/ICommandSender;)Ljava/lang/String;,getUsage
func,cp/b([Ljava/lang/String;I)Z,net/minecraft/command/CommandKill/func_82358_a([Ljava/lang/String;I)Z,isUsernameIndex
func,cp/c()Ljava/lang/String;,net/minecraft/command/CommandKill/func_71517_b()Ljava/lang/String;,getName
func,cq/a()I,net/minecraft/command/server/CommandListPlayers/func_82362_a()I,getRequiredPermissionLevel
func,cq/a(Lnet/minecraft/server/MinecraftServer;Lbn;[Ljava/lang/String;)V,net/minecraft/command/server/CommandListPlayers/func_184881_a(Lnet/minecraft/server/MinecraftServer;Lnet/minecraft/command/ICommandSender;[Ljava/lang/String;)V,execute
func,cq/b(Lbn;)Ljava/lang/String;,net/minecraft/command/server/CommandListPlayers/func_71518_a(Lnet/minecraft/command/ICommandSender;)Ljava/lang/String;,getUsage
func,cq/c()Ljava/lang/String;,net/minecraft/command/server/CommandListPlayers/func_71517_b()Ljava/lang/String;,getName
func,cr/a()I,net/minecraft/command/CommandLocate/func_82362_a()I,getRequiredPermissionLevel
func,cr/a(Lnet/minecraft/server/MinecraftServer;Lbn;[Ljava/lang/String;)V,net/minecraft/command/CommandLocate/func_184881_a(Lnet/minecraft/server/MinecraftServer;Lnet/minecraft/command/ICommandSender;[Ljava/lang/String;)V,execute
func,cr/a(Lnet/minecraft/server/MinecraftServer;Lbn;[Ljava/lang/String;Let;)Ljava/util/List;,net/minecraft/command/CommandLocate/func_184883_a(Lnet/minecraft/server/MinecraftServer;Lnet/minecraft/command/ICommandSender;[Ljava/lang/String;Lnet/minecraft/util/math/BlockPos;)Ljava/util/List;,getTabCompletions
func,cr/b(Lbn;)Ljava/lang/String;,net/minecraft/command/CommandLocate/func_71518_a(Lnet/minecraft/command/ICommandSender;)Ljava/lang/String;,getUsage
func,cr/c()Ljava/lang/String;,net/minecraft/command/CommandLocate/func_71517_b()Ljava/lang/String;,getName
func,cs/a()I,net/minecraft/command/server/CommandMessage/func_82362_a()I,getRequiredPermissionLevel
func,cs/a(Lnet/minecraft/server/MinecraftServer;Lbn;[Ljava/lang/String;)V,net/minecraft/command/server/CommandMessage/func_184881_a(Lnet/minecraft/server/MinecraftServer;Lnet/minecraft/command/ICommandSender;[Ljava/lang/String;)V,execute
func,cs/a(Lnet/minecraft/server/MinecraftServer;Lbn;[Ljava/lang/String;Let;)Ljava/util/List;,net/minecraft/command/server/CommandMessage/func_184883_a(Lnet/minecraft/server/MinecraftServer;Lnet/minecraft/command/ICommandSender;[Ljava/lang/String;Lnet/minecraft/util/math/BlockPos;)Ljava/util/List;,getTabCompletions
func,cs/b()Ljava/util/List;,net/minecraft/command/server/CommandMessage/func_71514_a()Ljava/util/List;,getAliases
func,cs/b(Lbn;)Ljava/lang/String;,net/minecraft/command/server/CommandMessage/func_71518_a(Lnet/minecraft/command/ICommandSender;)Ljava/lang/String;,getUsage
func,cs/b([Ljava/lang/String;I)Z,net/minecraft/command/server/CommandMessage/func_82358_a([Ljava/lang/String;I)Z,isUsernameIndex
func,cs/c()Ljava/lang/String;,net/minecraft/command/server/CommandMessage/func_71517_b()Ljava/lang/String;,getName
func,ct/a()I,net/minecraft/command/server/CommandOp/func_82362_a()I,getRequiredPermissionLevel
func,ct/a(Lnet/minecraft/server/MinecraftServer;Lbn;[Ljava/lang/String;)V,net/minecraft/command/server/CommandOp/func_184881_a(Lnet/minecraft/server/MinecraftServer;Lnet/minecraft/command/ICommandSender;[Ljava/lang/String;)V,execute
func,ct/a(Lnet/minecraft/server/MinecraftServer;Lbn;[Ljava/lang/String;Let;)Ljava/util/List;,net/minecraft/command/server/CommandOp/func_184883_a(Lnet/minecraft/server/MinecraftServer;Lnet/minecraft/command/ICommandSender;[Ljava/lang/String;Lnet/minecraft/util/math/BlockPos;)Ljava/util/List;,getTabCompletions
func,ct/b(Lbn;)Ljava/lang/String;,net/minecraft/command/server/CommandOp/func_71518_a(Lnet/minecraft/command/ICommandSender;)Ljava/lang/String;,getUsage
func,ct/c()Ljava/lang/String;,net/minecraft/command/server/CommandOp/func_71517_b()Ljava/lang/String;,getName
func,cu/a()I,net/minecraft/command/server/CommandPardonIp/func_82362_a()I,getRequiredPermissionLevel
func,cu/a(Lnet/minecraft/server/MinecraftServer;Lbn;)Z,net/minecraft/command/server/CommandPardonIp/func_184882_a(Lnet/minecraft/server/MinecraftServer;Lnet/minecraft/command/ICommandSender;)Z,checkPermission
func,cu/a(Lnet/minecraft/server/MinecraftServer;Lbn;[Ljava/lang/String;)V,net/minecraft/command/server/CommandPardonIp/func_184881_a(Lnet/minecraft/server/MinecraftServer;Lnet/minecraft/command/ICommandSender;[Ljava/lang/String;)V,execute
func,cu/a(Lnet/minecraft/server/MinecraftServer;Lbn;[Ljava/lang/String;Let;)Ljava/util/List;,net/minecraft/command/server/CommandPardonIp/func_184883_a(Lnet/minecraft/server/MinecraftServer;Lnet/minecraft/command/ICommandSender;[Ljava/lang/String;Lnet/minecraft/util/math/BlockPos;)Ljava/util/List;,getTabCompletions
func,cu/b(Lbn;)Ljava/lang/String;,net/minecraft/command/server/CommandPardonIp/func_71518_a(Lnet/minecraft/command/ICommandSender;)Ljava/lang/String;,getUsage
func,cu/c()Ljava/lang/String;,net/minecraft/command/server/CommandPardonIp/func_71517_b()Ljava/lang/String;,getName
func,cv/a()I,net/minecraft/command/server/CommandPardonPlayer/func_82362_a()I,getRequiredPermissionLevel
func,cv/a(Lnet/minecraft/server/MinecraftServer;Lbn;)Z,net/minecraft/command/server/CommandPardonPlayer/func_184882_a(Lnet/minecraft/server/MinecraftServer;Lnet/minecraft/command/ICommandSender;)Z,checkPermission
func,cv/a(Lnet/minecraft/server/MinecraftServer;Lbn;[Ljava/lang/String;)V,net/minecraft/command/server/CommandPardonPlayer/func_184881_a(Lnet/minecraft/server/MinecraftServer;Lnet/minecraft/command/ICommandSender;[Ljava/lang/String;)V,execute
func,cv/a(Lnet/minecraft/server/MinecraftServer;Lbn;[Ljava/lang/String;Let;)Ljava/util/List;,net/minecraft/command/server/CommandPardonPlayer/func_184883_a(Lnet/minecraft/server/MinecraftServer;Lnet/minecraft/command/ICommandSender;[Ljava/lang/String;Lnet/minecraft/util/math/BlockPos;)Ljava/util/List;,getTabCompletions
func,cv/b(Lbn;)Ljava/lang/String;,net/minecraft/command/server/CommandPardonPlayer/func_71518_a(Lnet/minecraft/command/ICommandSender;)Ljava/lang/String;,getUsage
func,cv/c()Ljava/lang/String;,net/minecraft/command/server/CommandPardonPlayer/func_71517_b()Ljava/lang/String;,getName
func,cw/a()I,net/minecraft/command/CommandParticle/func_82362_a()I,getRequiredPermissionLevel
func,cw/a(Lnet/minecraft/server/MinecraftServer;Lbn;[Ljava/lang/String;)V,net/minecraft/command/CommandParticle/func_184881_a(Lnet/minecraft/server/MinecraftServer;Lnet/minecraft/command/ICommandSender;[Ljava/lang/String;)V,execute
func,cw/a(Lnet/minecraft/server/MinecraftServer;Lbn;[Ljava/lang/String;Let;)Ljava/util/List;,net/minecraft/command/CommandParticle/func_184883_a(Lnet/minecraft/server/MinecraftServer;Lnet/minecraft/command/ICommandSender;[Ljava/lang/String;Lnet/minecraft/util/math/BlockPos;)Ljava/util/List;,getTabCompletions
func,cw/b(Lbn;)Ljava/lang/String;,net/minecraft/command/CommandParticle/func_71518_a(Lnet/minecraft/command/ICommandSender;)Ljava/lang/String;,getUsage
func,cw/b([Ljava/lang/String;I)Z,net/minecraft/command/CommandParticle/func_82358_a([Ljava/lang/String;I)Z,isUsernameIndex
func,cw/c()Ljava/lang/String;,net/minecraft/command/CommandParticle/func_71517_b()Ljava/lang/String;,getName
func,cx/a()I,net/minecraft/command/CommandPlaySound/func_82362_a()I,getRequiredPermissionLevel
func,cx/a(Lnet/minecraft/server/MinecraftServer;Lbn;[Ljava/lang/String;)V,net/minecraft/command/CommandPlaySound/func_184881_a(Lnet/minecraft/server/MinecraftServer;Lnet/minecraft/command/ICommandSender;[Ljava/lang/String;)V,execute
func,cx/a(Lnet/minecraft/server/MinecraftServer;Lbn;[Ljava/lang/String;Let;)Ljava/util/List;,net/minecraft/command/CommandPlaySound/func_184883_a(Lnet/minecraft/server/MinecraftServer;Lnet/minecraft/command/ICommandSender;[Ljava/lang/String;Lnet/minecraft/util/math/BlockPos;)Ljava/util/List;,getTabCompletions
func,cx/b(Lbn;)Ljava/lang/String;,net/minecraft/command/CommandPlaySound/func_71518_a(Lnet/minecraft/command/ICommandSender;)Ljava/lang/String;,getUsage
func,cx/b([Ljava/lang/String;I)Z,net/minecraft/command/CommandPlaySound/func_82358_a([Ljava/lang/String;I)Z,isUsernameIndex
func,cx/c()Ljava/lang/String;,net/minecraft/command/CommandPlaySound/func_71517_b()Ljava/lang/String;,getName
func,cy/a(Lnet/minecraft/server/MinecraftServer;Lbn;[Ljava/lang/String;)V,net/minecraft/command/server/CommandPublishLocalServer/func_184881_a(Lnet/minecraft/server/MinecraftServer;Lnet/minecraft/command/ICommandSender;[Ljava/lang/String;)V,execute
func,cy/b(Lbn;)Ljava/lang/String;,net/minecraft/command/server/CommandPublishLocalServer/func_71518_a(Lnet/minecraft/command/ICommandSender;)Ljava/lang/String;,getUsage
func,cy/c()Ljava/lang/String;,net/minecraft/command/server/CommandPublishLocalServer/func_71517_b()Ljava/lang/String;,getName
func,cz/a()I,net/minecraft/command/RecipeCommand/func_82362_a()I,getRequiredPermissionLevel
func,cz/a(Lnet/minecraft/server/MinecraftServer;Lbn;[Ljava/lang/String;)V,net/minecraft/command/RecipeCommand/func_184881_a(Lnet/minecraft/server/MinecraftServer;Lnet/minecraft/command/ICommandSender;[Ljava/lang/String;)V,execute
func,cz/a(Lnet/minecraft/server/MinecraftServer;Lbn;[Ljava/lang/String;Let;)Ljava/util/List;,net/minecraft/command/RecipeCommand/func_184883_a(Lnet/minecraft/server/MinecraftServer;Lnet/minecraft/command/ICommandSender;[Ljava/lang/String;Lnet/minecraft/util/math/BlockPos;)Ljava/util/List;,getTabCompletions
func,cz/b(Lbn;)Ljava/lang/String;,net/minecraft/command/RecipeCommand/func_71518_a(Lnet/minecraft/command/ICommandSender;)Ljava/lang/String;,getUsage
func,cz/c()Ljava/lang/String;,net/minecraft/command/RecipeCommand/func_71517_b()Ljava/lang/String;,getName
